time,open,high,low,close,Global liquidity,Volume
1627344000,37262.76,39550,36413.26,39470.48,98.82326201764714,24709.11876
1627430400,39475.99,40925.56,38803.34,40035.1,98.86486326251045,27198.34784
1627516800,40035.1,40644.85,39229.47,40039.44,99.07435481342905,11022.43901
1627603200,40039.44,42320.57,38342,42237.95,99.5466328086353,15063.2488
1627689600,42233.66,42414.61,41064.11,41495.01,99.5466328086353,9351.95731
1627776000,41499,42605.64,39426,39865.41,99.5466328086353,10617.68715
1627862400,39859.18,40459.68,38690,39149.59,99.58052900052034,12379.42658
1627948800,39149.59,39785.3,37627.21,38191.44,99.54823718237242,15094.83164
1628035200,38189.4,39965.1,37509,39722.41,99.05633104476473,15327.69046
1628121600,39718.9,41447.89,37300,40888.74,99.1433915732489,28507.86981
1628208000,40888.73,43399.26,39876.74,42869.58,99.38157272551535,20425.12897
1628294400,42869.59,44750,42457.27,44637.34,99.38157272551535,19634.80927
1628380800,44628.11,45363.83,43131.97,43829.14,99.38157272551535,18712.2859
1628467200,43829.15,46497.42,42821.3,46285.48,99.38463955630601,19464.73929
1628553600,46280,46718.44,44650.27,45595.66,99.64923577221921,13756.51512
1628640000,45601.82,46781.09,45350.74,45553.49,99.42136402954475,11628.33477
1628726400,45553.1,46223.95,43714.36,44422.14,99.60204859459394,13169.7914
1628812800,44422.15,47953.9,44249.64,47833.64,99.47918093209884,11794.95661
1628899200,47833.64,48176.52,46034.93,47109.65,99.47918093209884,8130.38204
1628985600,47109.64,47400,45525.19,47014.49,99.47918093209884,7745.71633
1629072000,47014.38,48076.52,45676.91,45902.46,99.66916834786294,10467.6749
1629158400,45903.22,47174.62,44405.39,44671.58,99.76244836794463,12756.16226
1629244800,44675.34,46035.27,44216.47,44707.98,99.7514178207023,10327.51328
1629331200,44709.1,47088.08,43955,46765.87,99.77082210535904,11938.13617
1629417600,46769.02,49400,46644.95,49342.4,99.84925979388477,13184.68475
1629504000,49349.99,49821.92,48285.28,48867.02,99.84925979388477,9574.85076
1629590400,48870.21,49526.13,48102.89,49284.63,99.84925979388477,6243.41095
1629676800,49284.38,50505,49012.84,49506.5,100.7029865884312,10824.28276
1629763200,49504.53,49875.9,47600,47682.45,100.61420723775554,12068.35266
1629849600,47682.45,49277,47122.02,48987.33,100.63268452074533,9289.24621
1629936000,48991.57,49365.1,46315.48,46851.47,100.22426272674436,11651.33499
1630022400,46851.47,49185.12,46361.01,49077.57,100.4832024983919,8924.13671
1630108800,49081.08,49309.83,48370,48942.94,100.4832024983919,4895.71626
1630195200,48942.89,49667.1,47801,48802.58,100.4832024983919,6935.10953
1630281600,48802.58,48906.51,46866,46993.71,100.55504578012791,12249.25182
1630368000,46996.8,48259.68,46708.93,47112.5,100.46255312053032,12919.45428
1630454400,47110.33,49125,46537.62,48839.86,100.51752590855457,13010.85273
1630540800,48834.27,50392.19,48620.73,49279.37,100.55742800797579,14120.3969
1630627200,49279.38,51064.44,48349.66,50025,100.33816511738603,14577.24054
1630713600,50025,50558.75,49400,49942.98,100.33816511738603,7595.50246
1630800000,49944.89,51907.08,49500,51789.17,100.33816511738603,7743.94916
1630886400,51789.17,52802.03,51020.08,52698.81,100.30759816132672,9571.7692
1630972800,52698.8,52944.96,42830.77,46894.5,100.24983611054054,28990.57716
1631059200,46894.49,47381.47,44423.49,46060.36,99.90921127183303,19624.56526
1631145600,46059.94,47400,45511.82,46400,99.4766876399702,13594.66072
1631232000,46396.26,47040.76,44140.48,44851.45,99.28990998919556,14905.56245
1631318400,44850.37,45989.94,44730.29,45171.83,99.28990998919556,6207.3979
1631404800,45173.66,46462.98,44754.31,46024.23,99.28990998919556,6499.87249
1631491200,46027.8,46900,43465,44947.72,99.37473118278776,15015.31735
1631577600,44953.23,47274.92,44679.92,47127.22,99.32971639693947,12644.17879
1631664000,47127.81,48475,46705,48148.12,99.32849253909224,12139.85654
1631750400,48144.03,48499.99,47020.82,47753.16,99.37040485852584,11739.29401
1631836800,47753.15,48176.64,46752.67,47303.5,99.4770939878866,9088.58404
1631923200,47306.87,48825.62,47050,48314.56,99.4770939878866,7491.04881
1632009600,48309.86,48379.19,46850.87,47255.92,99.4770939878866,7086.36056
1632096000,47253.71,47358.92,42500,43012.97,99.45785930952474,27706.69089
1632182400,43007.69,43639.88,39600,40719.6,99.33117674660893,27275.3527
1632268800,40736.81,44035.44,40570.42,43575.1,100.17603762218779,19462.553
1632355200,43575.19,45000,43096.73,44897.59,99.99967543349794,13446.88918
1632441600,44896.55,45200,40683.29,42848.92,100.1161049538627,22451.59156
1632528000,42848.44,42998.76,41675,42705.51,100.1161049538627,7383.33834
1632614400,42705.51,43937,40803,43178.02,100.1161049538627,9971.65982
1632700800,43172.17,44366.96,42111,42171.76,100.16497428008631,10094.78533
1632787200,42166.31,42780,40897.7,41026.07,99.96012078395151,10491.82816
1632873600,41030.19,42638.99,40750.12,41522.16,99.92907811550378,10303.31567
1632960000,41519.11,44110.17,41409.67,43824.43,99.96435802659126,12835.99813
1633046400,43828.89,48500,43287.44,48165.76,100.10945811781633,20095.34602
1633132800,48165.76,48359.33,47451,47657.69,100.10945811781633,7262.64874
1633219200,47663.74,49300,47120.11,48233.99,100.10945811781633,7989.27375
1633305600,48233.99,49505,46916.7,49245.54,100.09270920495165,13938.65627
1633392000,49244.13,51906.23,49057.18,51493.99,99.91139675372027,17828.61151
1633478400,51499.77,55757.11,50416.01,55339.48,100.13522490361264,25869.66386
1633564800,55346.95,55356.85,53379,53797.82,100.11426074009735,15820.84851
1633651200,53805.46,56113,53634.41,53963.82,99.95541073566861,12416.91648
1633737600,53965.18,55500,53675,54962.29,99.95541073566861,7123.06937
1633824000,54963.29,56545.24,54112.95,54690.53,99.95541073566861,9370.20557
1633910400,54683.09,57833.23,54411.54,57487.44,99.81525598137226,13422.43527
1633996800,57485.97,57674.55,53873.78,56005.1,99.78951979463966,15457.02337
1634083200,56005.1,57771.33,54236.09,57367.32,99.92965520451375,14691.02756
1634169600,57367.32,58520.71,56832.32,57359.51,99.90027750478664,12198.03892
1634256000,57359.51,62910,56867.11,61695.39,99.79161565760072,27105.21203
1634342400,61690.32,62350,60139.01,60877.42,99.79161565760072,10161.27282
1634428800,60867.05,61744.17,58943.83,61527.11,99.79161565760072,9153.33717
1634515200,61530.07,62675.19,59887.74,62042.41,99.88664585100089,19798.16337
1634601600,62042.4,64500,61333,64303.14,99.81127835784297,17380.31934
1634688000,64303.14,66999,63525,66026.54,99.99527089540534,19194.46863
1634774400,66021.26,66650.85,62050,62204.02,100.36831643148513,23474.40547
1634860800,62204.01,63750,60000,60687.64,100.21931257682336,17217.72214
1634947200,60682.88,61750,59650,61300.01,100.3419084765086,6708.16454
1635033600,61300.02,61491.96,59522.89,60854.48,100.3419084765086,8573.74126
1635120000,60847.91,63726.58,60653.5,63083.54,100.39701375555782,10496.59493
1635206400,63081.96,63290.49,59837.07,60337.62,100.37770667635874,12181.49589
1635292800,60333.19,61488,58100,58455.47,100.31815409594581,18856.7
1635379200,58462.73,62477.47,57653.88,60591.65,100.32590080058742,19354.5134
1635465600,60591.63,62974,60188.73,62276.72,99.98439175155592,15497.02553
1635552000,62287.95,62379.2,60725.01,61892.41,99.98439175155592,6793.61149
1635638400,61896.38,62427.02,60001,61343.68,99.98439175155592,8371.18427
1635724800,61346.17,62500,59500,60949.54,99.88755731272623,11724.41014
1635811200,60956.4,64300,60672.16,63266.51,99.83690001506336,13694.12966
1635897600,63266.5,63568.36,60070,62935.41,99.94240937040044,12951.8863
1635984000,62935.4,63114.14,60728.77,61444.5,99.87156440072319,11051.7731
1636070400,61444.49,62638.59,60777,61006.15,100.09357817221978,10598.81063
1636156800,61006.14,61599.25,60125,61539.31,100.09357817221978,6366.45301
1636243200,61539.3,63327.96,61397.86,63309.13,100.09357817221978,5596.03889
1636329600,63309.12,67792.77,63309.12,67554.84,100.08582511885784,17661.88728
1636416000,67554.13,68568.85,66261.79,66944.66,99.79401438627382,14996.63956
1636502400,66938.76,69000,62800,64912.2,99.77106187070684,18964.60863
1636588800,64912.2,65600,64133.78,64807.59,99.55612261671422,10259.3396
1636675200,64807.73,65477.06,62300,64147.9,99.54396900961679,13658.64097
1636761600,64144.42,64990,63394.17,64400.01,99.54396900961679,5968.11774
1636848000,64400.01,65525,63596.9,65505.02,99.54396900961679,6081.58656
1636934400,65505.03,66339.9,63371,63624.59,99.81161410840204,10426.56967
1637020800,63621.05,63624.6,58638,60107.98,99.97524146957677,24910.16715
1637107200,60101.56,60824.38,58380,60351.51,99.95598311330428,20907.22982
1637193600,60351.51,60977.21,56514.13,56898,99.81849931824681,26749.22647
1637280000,56898.46,58412.12,55625,58122.16,100.05847646189636,18554.57503
1637366400,58122.15,59900,57423.35,59760.76,100.05847646189636,7584.6666
1637452800,59760.76,60070,58509.69,58671.21,100.05847646189636,6661.3807
1637539200,58671.22,59526.51,55641.03,56280.81,100.06911846651204,15889.23511
1637625600,56280.81,57886.03,55377,57566.85,100.72567806276729,14019.79617
1637712000,57562.65,57607.97,55875.01,57162.66,100.8031040890606,12509.27336
1637798400,57158.58,59445.99,57037.04,58987.27,100.90250083690049,10668.69117
1637884800,58994.72,59194,53533,53757.67,101.0068718116941,25946.31634
